value,key,area,count,length,n_chips,node,way,length_per_way,AREA/LENGTH,ways/chip,area_per_way,pixels per chip,,raul's decision,raul's comments,freddie's decision,freddie's comments,use
swimming,sport,1399931.648,1543,146794.282,819,80,1463,100.3378551,9.53669059,1.786324786,956.8910786,17.09318252,,,,0,,0
american_football,sport,5936149.275,1030,322140.8477,855,5,1025,314.2837538,18.42718586,1.198830409,5791.365146,69.42864649,,,,1,,1
beachvolleyball,sport,403305.6883,1032,76615.66987,452,10,1022,74.96640888,5.264010469,2.261061947,394.6239611,8.922692219,,,,0,,0
volleyball,sport,192194.7257,750,46500.41184,393,9,741,62.75359222,4.133183301,1.885496183,259.3720995,4.890451036,,,,0,,0
tetherball,sport,15966.22594,713,11762.45352,135,6,707,16.63713369,1.357389079,,22.58306357,,,,,,,
running,sport,3924316.423,677,197022.0611,482,12,665,296.2737761,19.91815739,1.37966805,5901.227703,81.41735316,,,,1,,1
equestrian,sport,4208156.05,634,136930.2832,238,12,622,220.1451498,30.73210654,2.613445378,6765.524197,176.8132794,,,,1,,1
skateboard,sport,593526.3021,532,68601.45217,500,52,480,142.919692,8.651803764,0.96,1236.513129,11.87052604,,,,0,,0
athletics,sport,704621.4797,460,51250.249,136,16,444,115.4284887,13.748645,3.264705882,1586.985315,51.81040292,,,,1,,1
motor,sport,26872829.46,402,271680.4816,138,4,398,682.6142753,98.91336069,2.884057971,67519.67202,1947.306483,,,,1,,1
multi,sport,3929069.889,427,150633.2139,300,32,395,381.3499085,26.0836889,1.316666667,9947.012377,130.9689963,,,,1,,1
pickleball,sport,56391.28062,388,18033.90948,111,5,383,47.08592554,3.126958172,3.45045045,147.2357196,5.080295552,,,,0,,0
climbing,sport,1351018.509,653,67841.3363,170,277,376,180.4290859,19.91438528,2.211764706,3593.134333,79.47167702,,,,0,,0
softball,sport,1232047.677,369,77051.82368,252,14,355,217.0473907,15.98985746,1.408730159,3470.556838,48.89078085,,,,0,,0
