value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way
opposite,cycleway,0.0,6.0,642.1210283741964,3.0,0.0,6.0,0.0,107.02017139569939
left,cycleway,0.0,5.0,1034.5964667913317,2.0,0.0,5.0,0.0,206.91929335826634
both,cycleway,0.0,5.0,2090.985557085752,3.0,0.0,5.0,0.0,418.19711141715044
route,cycleway,0.0,3.0,221.11582490492913,1.0,0.0,3.0,0.0,73.70527496830971
Anywhere,cycleway,0.0,2.0,409.36114627276777,2.0,0.0,2.0,0.0,204.68057313638388
shar,cycleway,0.0,2.0,772.0215984734772,2.0,0.0,2.0,0.0,386.0107992367386
light_rail,railway,0.0,3409.0,969429.0053011989,261.0,0.0,3409.0,0.0,284.3734248463476
subway,railway,0.0,1630.0,541487.0916021994,130.0,0.0,1630.0,0.0,332.20066969460083
razed,railway,0.0,600.0,449294.46476140385,359.0,1.0,599.0,0.0,750.0742316550983
funicular,railway,0.0,23.0,2768.7377168955136,12.0,0.0,23.0,0.0,120.37990073458755
platform_edge,railway,0.0,18.0,2657.3668546441177,6.0,0.0,18.0,0.0,147.6314919246732
demolished,railway,0.0,5.0,1250.6853148213995,3.0,0.0,5.0,0.0,250.1370629642799
signal_bridge,railway,0.0,3.0,50.14465571359862,3.0,0.0,3.0,0.0,16.714885237866206
crane,railway,0.0,2.0,1070.2955502859147,2.0,0.0,2.0,0.0,535.1477751429574
dismantled,railway,0.0,2.0,196.38115030954108,2.0,0.0,2.0,0.0,98.19057515477054
platffootway=sidewalk,railway,0.0,1.0,116.60290862765855,1.0,0.0,1.0,0.0,116.60290862765855
jet_bridge,bridge,0.0,39.0,1134.1678790183691,3.0,0.0,39.0,0.0,29.08122766713767
no,bridge,0.0,21.0,3965.790694997934,13.0,1.0,20.0,0.0,198.28953474989672
abandoned,bridge,0.0,10.0,825.2749402476752,9.0,0.0,10.0,0.0,82.52749402476752
log_bridge,bridge,0.0,2.0,13.738286137428448,2.0,0.0,2.0,0.0,6.869143068714224
decorative,bridge,0.0,2.0,9.323962178911515,1.0,0.0,2.0,0.0,4.661981089455757
gate,bridge,0.0,1.0,2.0222942632629164,1.0,0.0,1.0,0.0,2.0222942632629164
gangway,bridge,0.0,1.0,4.70146640490147,1.0,0.0,1.0,0.0,4.70146640490147
dirt,bridge,0.0,1.0,25.795052616977244,1.0,0.0,1.0,0.0,25.795052616977244
plank,bridge,0.0,1.0,3.4582863304167795,1.0,0.0,1.0,0.0,3.4582863304167795
razed,bridge,0.0,1.0,11.479136813880922,1.0,0.0,1.0,0.0,11.479136813880922
broadwalk,bridge,0.0,1.0,68.28554256928204,1.0,0.0,1.0,0.0,68.28554256928204
1,bridge,0.0,1.0,149.8411760450585,1.0,0.0,1.0,0.0,149.8411760450585
rock_climbing,sport,0.0,2.0,514.0846851438856,1.0,0.0,2.0,0.0,257.0423425719428
rock_Climbing,sport,0.0,1.0,250.78860411207947,1.0,0.0,1.0,0.0,250.78860411207947
yes,sport,0.0,1.0,3.071493593356989,1.0,0.0,1.0,0.0,3.071493593356989
motor;public_safety_training,sport,0.0,1.0,216.14574101476597,1.0,0.0,1.0,0.0,216.14574101476597
waterslide,sport,0.0,1.0,116.39093172431944,1.0,0.0,1.0,0.0,116.39093172431944
running;pole_vault,sport,0.0,1.0,42.68392245091758,1.0,0.0,1.0,0.0,42.68392245091758
short_jump,sport,0.0,1.0,30.25267020896465,1.0,0.0,1.0,0.0,30.25267020896465
buildering,sport,0.0,1.0,30.987636399998372,1.0,0.0,1.0,0.0,30.987636399998372
no,tunnel,0.0,313.0,233028.22054459673,192.0,1.0,312.0,0.0,746.8853222583228
flooded,tunnel,0.0,91.0,22944.14536247733,69.0,0.0,91.0,0.0,252.1334655217289
pipe,tunnel,0.0,70.0,25640.790869718498,28.0,0.0,70.0,0.0,366.29701242454996
proposed,tunnel,0.0,26.0,18977.030863364045,8.0,0.0,26.0,0.0,729.8858024370786
avalanche_protector,tunnel,0.0,13.0,2317.0090533711546,4.0,0.0,13.0,0.0,178.23146564393497
tunnel,tunnel,0.0,6.0,643.066253668195,2.0,0.0,6.0,0.0,107.17770894469918
siphon,tunnel,0.0,4.0,1106.4763194192394,3.0,0.0,4.0,0.0,276.61907985480985
